GeneName	HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Gm11567	0	0	0	0
Gm11564	0	0	0	0
Gm11565	0	0	0	0
Gm11568	0	0	0	0
Gm11569	0	0	0	0
En1	0	0	0	0
En2	0	0	0	0
Rgs16	23	0	6	2
Rgs17	0	0	1	2
Fxyd4	31	23	15	8
Fxyd5	20183	18623	22297	25007
Rgs12	30	20	72	118
Rgs13	0	0	0	0
Rgs10	705	938	651	910
Fxyd1	0	0	1	0
4833422M21Rik	0	0	0	0
Rgs18	5	0	4	8
Rgs19	3010	3131	2649	3625
1600014C23Rik	0	0	0	0
Phpt1	436	369	481	556
Ifi202b	0	0	4	0
Gm19757	0	0	0	0
Mir6769b	0	0	0	0
Wwtr1	0	0	2	0
Mir466f-4	0	0	0	0
Mir466f-1	0	0	0	0
Mir466f-2	0	0	0	0
Mir466f-3	0	0	0	0
Sema4a	15535	14923	17891	18868
Sema4b	410	421	374	387
Sema4c	0	19	32	0
Cops7b	638	581	597	746
Sema4f	1074	919	1165	1057
9630028B13Rik	0	1	2	0
Pgpep1l	1	0	3	8
Il21r	5821	7028	5266	7934
4933431G14Rik	0	0	0	0
1700072O05Rik	0	0	0	0
Add2	0	2	0	12
Add1	11715	13135	12404	14903
Mllt10	1944	1617	1959	1708
Mllt11	522	531	553	576
Gm5168	0	0	0	0
Gm5169	0	0	0	0
Gm5166	0	0	0	0
Slc35g2	69	12	27	21
Slc35g3	0	0	0	0
Slc35g1	673	738	810	1061
AI646519	0	0	0	0
Fam117b	2741	2858	2850	3170
Cd79b	783	577	687	812
Cd79a	3	26	16	16
4933425B07Rik	0	0	1	0
Nhp2l1	2355	2462	2475	2861
Pafah1b1	3613	3632	3652	4351
Pafah1b3	173	220	139	188
Bambi-ps1	22	9	44	15
Zw10	1723	1727	1730	1597
Dgcr14	1637	2029	2095	1904
Vmn1r10	0	0	0	0
Ticrr	98	297	301	180
Gm20747	0	0	0	0
Gm20744	0	0	0	0
Gm20745	0	0	0	0
Gm20743	0	0	0	0
Gm20740	0	0	0	0
Gm20741	0	0	0	0
Tceb3	3398	3605	3363	3030
Aldh1l2	0	0	4	3
Tceb1	1371	1541	1535	1716
Inpp4b	3714	3584	4654	4425
Inpp4a	775	646	905	584
2310068J16Rik	6	5	7	0
Matr3	12660	14828	12850	16484
Sema4g	0	0	16	0
3100003L05Rik	0	5	0	6
Sox8	0	0	3	0
Sox9	7	0	0	0
Sox2	0	0	0	0
Sox3	0	0	0	0
Sox1	0	0	0	0
Sox6	0	3	40	5
Sox7	0	0	0	0
Sox4	13	54	23	13
Sox5	48	0	24	17
Bcl11a	0	0	3	33
Bcl11b	14871	14996	15057	15903
Map3k8	756	730	669	677
A930006I01Rik	0	0	0	0
Mus81	521	664	862	673
Mir6969	0	0	0	0
Anks1b	0	1	3	0
Krtap4-13	0	0	0	0
Krtap4-16	0	0	0	0
Il21	0	0	0	0
Il20	0	0	0	0
Il22	0	0	0	0
Il25	0	0	0	0
Il24	0	0	0	0
Il27	0	7	1	4
Mir6963	0	0	0	0
Mir6961	0	0	0	0
Map3k6	0	3	8	0
Kntc1	1	104	187	67
4930438E09Rik	0	0	0	0
4930512M02Rik	0	0	0	1
Mir6965	0	0	0	0
Ltb	17002	22478	15163	21945
Abca4	0	0	0	0
St14	599	646	540	744
St13	2684	3209	2121	2633
Bicd2	1548	1897	1713	2000
St18	1	0	12	0
Ltf	0	0	0	583
Kif5a	0	5	40	37
Kif5b	9137	8674	8848	11379
Kif5c	414	269	493	205
Wac	6252	7445	6313	7764
Was	1392	1437	1685	1732
Wap	0	0	1	0
Adad1	0	0	3	0
Hip1r	1605	1786	1913	2062
Hmox2	1282	1640	1304	1495
Defa-rs1	0	0	0	0
Defa-rs7	0	0	0	0
Eps8l1	161	217	238	138
Eps8l2	1	0	0	0
Eps8l3	0	0	0	0
Tbxa2r	1937	2292	1869	2562
Orc6	509	415	801	674
Orc4	1354	1756	1677	1832
Map6d1	14	2	2	7
Orc2	1408	1358	1488	1184
Orc3	3598	3286	3691	4257
Atp5sl	423	466	666	412
Acta2	9	9	20	6
Acta1	1	2	1	1
Ash2l	2356	2701	2252	2658
Gm1673	0	2	0	0
Ndufb9	1760	1869	1999	2525
Ndufb8	2422	2524	3007	3316
Ndufb7	1738	1882	2094	2594
Sptan1	7080	7578	6392	6820
Ndufb5	1914	1983	2076	2895
Ndufb4	326	329	359	432
Ndufb3	787	799	803	1045
Ndufb2	570	636	633	881
Dcun1d1	2133	2743	1928	2748
Dcun1d2	954	1207	1059	1246
Dcun1d3	585	677	800	678
Mir17hg	61	55	176	65
Dcun1d5	2359	2867	2680	3192
Gm3716	1	2	0	9
Shpk	426	507	640	644
Mrps17	1005	1059	1296	1284
Mrps16	1089	1216	1210	1696
Mrps15	1153	1402	1277	1799
Mrps14	3130	3186	3780	4247
Mrps12	692	780	809	862
Mrps11	414	385	407	517
Mrps10	622	738	710	842
AW046200	19	13	23	15
Plgrkt	482	515	735	876
Gm572	0	0	0	0
Gpr179	1	0	1	0
Gpr171	2538	2627	2725	3372
Gpr173	0	0	0	0
Gpr174	2959	3332	2383	3226
Gpr176	0	0	2	0
Prkcdbp	0	0	0	0
Eif5a2	798	883	913	654
Slco6d1	0	0	1	0
1700039E22Rik	0	0	0	0
Aptx	762	683	783	823
Socs5	670	554	426	495
Socs4	183	125	265	179
Socs7	592	468	609	555
Socs6	914	734	921	999
Socs1	882	805	1371	1817
Ptma	9272	9918	10692	13783
Dhrs9	22	0	4	1
Dhrs7	2040	2008	2247	2606
Dhrs4	349	459	424	421
Dhrs2	0	0	0	0
Dhrs3	85	42	74	63
Dhrs1	793	714	789	937
Mir804	0	0	0	0
Mir802	0	0	0	0
Neil3	7	18	98	56
Neil2	8	4	2	2
Gna14	0	0	0	0
Gna15	1933	1458	2006	1772
Gna12	451	525	459	616
Gna13	3543	3878	3879	3923
Gna11	1278	1206	1354	1567
Mir291b	0	0	0	0
Mir291a	0	0	0	0
Dhrsx	0	0	0	0
Gm10125	0	5	5	0
Plac9b	0	0	0	0
2810013P06Rik	425	655	576	572
Nucb1	6928	7051	7324	8301
Nucb2	87	79	84	76
Tomm6	713	786	872	1070
Sbno2	1668	1802	2108	2681
Gm11762	0	0	2	3
Tomm5	821	933	870	1170
Esco2	9	95	146	138
Esco1	5302	5721	5565	6413
Fam117a	1620	1524	1825	1764
Fnbp1l	0	0	4	0
Il1rl1	13	0	10	1
Il1rl2	219	76	164	179
Gm15446	104	61	82	74
Gm15441	22	32	20	36
Cluap1	497	421	460	682
Pop5	1343	1410	1270	1746
Pomgnt1	1389	1505	1763	1711
Pomgnt2	0	23	0	20
Gdpd2	0	1	0	0
Gdpd3	5	16	12	0
Gdpd1	9	20	22	14
Mcoln1	812	847	858	758
Gdpd4	0	0	0	0
Gdpd5	576	437	819	548
Olfr934	0	0	0	0
Olfr935	0	0	0	0
Olfr936	0	0	0	0
Olfr937	0	0	0	0
Olfr930	0	0	0	0
Olfr933	0	0	0	0
4930528H21Rik	4	0	0	0
Ccl28	6	0	1	1
Ccl20	0	0	0	0
Ccl22	0	0	0	0
Ccl25	52	63	54	48
Ccl24	0	0	0	4
Ccl26	0	0	0	0
Ick	312	262	229	287
Taf7l	0	0	1	0
Mpv17l	63	17	18	65
Gm12238	2	4	0	2
Fcrl1	32	35	24	30
Fcrl5	1	0	0	1
Fcrl6	0	0	0	0
Gpkow	3059	3912	3560	3811
Isg20l2	1339	1311	1185	1378
E130310I04Rik	0	0	0	0
Xcl1	238	395	210	415
Gm16938	19	7	1	4
Enc1	828	899	1016	672
Cyb5rl	153	209	147	193
4930577N17Rik	54	35	46	82
Fcrla	9	22	31	0
Fcrlb	17	13	34	26
Fcrls	9	17	30	0
Coch	5	2	0	2
Lgi4	0	3	0	0
Cyb5r4	7149	6812	7159	7504
Cyb5r3	2041	2212	2355	2327
Cyb5r2	0	0	0	0
Cyb5r1	528	541	351	564
Mycbp	319	388	381	351
Stxbp3-ps	1	1	3	2
4930533P14Rik	0	0	0	0
Rbm7	3321	3281	4052	4408
Rbm6	3757	4284	4794	4051
H1foo	0	0	0	0
Rbm4	49	71	57	78
Rbm3	2817	2650	4640	4098
Mcam	13	7	18	0
Clec18a	0	0	0	0
Rpl36al	1914	1835	1879	2700
Atpif1	444	354	594	763
Zfp574	1566	1243	1226	1718
Zfp575	0	0	0	0
Zfp572	0	0	0	0
Zfp579	71	119	128	115
Rbmy	0	0	0	0
Rbmx	1596	1614	2362	1880
A930024E05Rik	54	63	66	40
1700019C18Rik	0	0	0	0
Asnsd1	2420	2642	3028	2834
Ifnar2	4520	4868	4452	5805
Ifnar1	7441	8238	7674	9527
Gm4541	0	0	0	0
Mycbp2	7920	8697	9629	9435
Dennd2c	55	84	78	5
Dennd2a	0	1	0	0
Dennd2d	2165	2739	2843	3125
AI118078	0	0	0	0
1700101O22Rik	0	0	0	0
Ldhd	15	51	12	8
Sept14	0	0	0	0
Sept11	10187	7862	9924	8844
Sec61a1	8922	9408	8543	10276
Sec61a2	278	224	203	292
Ldhc	11	2	1	3
Olfr169	0	0	0	0
Olfr168	0	0	0	0
Tceb2	2142	2006	2371	2861
Olfr161	0	0	0	0
Olfr160	0	0	0	0
Olfr167	0	0	0	0
Olfr166	0	0	0	0
Olfr165	0	0	0	0
Olfr164	0	0	0	0
Bnip3l	5351	5270	5001	5860
Bach2	629	737	679	565
Bach1	265	159	189	261
Bccip	2441	2437	2325	2826
Foxb1	0	0	0	0
Uggt2	31	20	39	33
Uggt1	6422	5958	6394	6239
Papl	0	0	0	0
Zfp386	1865	2120	1926	2228
Hap1	0	0	0	0
Mknk2	7008	8229	7331	8448
Mknk1	969	1216	844	1013
Zfp382	326	318	388	490
Lrrc8e	25	3	3	0
Lrrc8d	920	827	1032	1227
Lrrc8a	338	363	328	341
Lrrc8c	5597	5995	5038	5939
Lrrc8b	478	473	499	688
Spp2	0	0	0	0
4933428G20Rik	0	0	3	0
Rit2	0	0	0	0
Rit1	727	744	926	978
Bpifa2	0	0	0	1
Bpifa3	0	0	0	0
Bpifa1	0	0	0	0
Bpifa6	0	0	0	0
Bpifa5	0	0	0	0
Ndufaf6	297	270	326	352
Capns1	3000	3053	3234	4221
Capns2	0	0	3	0
4930556J02Rik	0	0	0	0
Gm8660	0	0	0	0
Mir3572	0	0	0	0
Cbln4	4	0	1	0
Qtrt1	813	1122	788	945
Cbln2	0	4	4	0
Cbln3	0	0	0	0
Cbln1	0	0	0	0
Rab11a	2563	2308	2927	2906
Rab11b	4985	5051	5119	6497
Cfdp1	1983	1969	1822	2331
Gm11240	0	0	0	0
Pla2g4c	5	3	18	0
Pla2g4b	0	8	11	0
Pla2g4a	0	7	2	3
Pla2g4f	2	0	0	0
Pla2g4e	0	0	0	2
Pla2g4d	1	0	0	0
Cblc	0	0	0	3
Cblb	3890	4082	4210	4422
Tex101	0	0	0	0
Apmap	1343	1140	1314	1509
Cables1	61	55	30	126
AY702102	0	0	0	0
AY702103	0	0	0	0
Cables2	2849	2569	2877	3079
Car10	0	2	0	0
Car11	22	2	6	22
Car12	67	164	18	124
Car13	0	0	2	0
Car14	0	11	1	1
Car15	27	45	24	39
Smim10l2a	0	4	0	25
Bod1	522	365	508	399
Enpp7	0	0	0	0
Enpp4	1167	1158	962	1276
Enpp5	94	181	167	238
Enpp2	61	69	106	130
Enpp3	0	0	0	0
Enpp1	1225	1286	1167	1337
4930567H12Rik	0	0	0	0
Rab8b	17792	18569	16893	18920
Arhgap33os	0	0	0	0
Ddx60	1844	1521	3759	3711
Xlr5a	0	0	0	0
Xlr5b	0	0	0	0
Xlr5c	0	0	0	0
Uspl1	2974	3363	3087	3580
F8a	481	595	645	651
Etl4	0	0	3	0
1700042O10Rik	0	6	0	0
Uros	594	463	552	604
Gfap	0	0	1	0
Fbxw28	0	0	0	0
Hinfp	283	183	406	350
Lim2	15	6	4	10
Fbxw22	0	0	0	0
Fbxw21	0	0	0	0
Fbxw20	0	0	0	0
Fbxw27	0	0	0	0
9230112J17Rik	0	0	0	0
Fbxw24	0	0	0	0
4930511M06Rik	0	0	0	0
Mir532	0	0	0	0
Rps21	2431	2651	2297	3576
Raver1	840	1004	1042	956
Dnah17	31	35	67	33
Dnah10	6	3	14	5
Dnah11	87	57	65	57
A230108P19Rik	5	0	0	0
Tcte3	0	0	0	0
Tcte2	0	5	0	7
Tcte1	0	0	0	0
Prlhr	0	0	0	0
Sirpa	19	0	16	78
Brk1	2291	2437	2515	3111
Olfr1279	0	0	0	0
Dmgdh	0	0	0	0
Olfr1275	0	0	0	0
Olfr1277	0	0	0	0
Olfr1276	0	0	6	0
Olfr1271	0	0	0	0
Olfr1270	0	0	0	0
Olfr1272	0	0	0	0
Natd1	325	569	479	525
Vimp	2016	2393	2501	2583
Tcl1b2	0	0	0	0
Tcl1b3	0	0	1	0
Tcl1b1	0	0	0	0
Tcl1b4	0	0	0	0
Tcl1b5	0	0	0	0
Mir466b-8	0	0	0	0
Mir466b-1	0	0	0	0
Mir466b-2	0	0	0	0
Mir466b-3	0	0	0	0
Mir466b-4	0	0	0	0
Mir466b-5	0	0	0	0
Mir466b-6	0	0	0	0
Mir466b-7	0	0	0	0
Gper1	0	0	0	0
Igf2	0	0	0	0
Itfg3	1045	1424	686	1014
Itfg2	381	402	510	491
Itfg1	3060	3371	3620	3449
Apoe	165	114	217	216
Bmp15	0	0	0	0
Tars	3331	3314	3733	4408
Actb	63722	61176	68006	78165
Peg12	0	0	0	0
Peg13	1489	1201	1299	1125
Peg10	0	0	0	0
Mid1	13	3	20	16
2610042L04Rik	0	0	2	1
Smim4	360	410	357	533
Fut7	193	198	113	256
Fut4	0	14	0	1
Gm839	0	0	0	0
Fut1	0	0	0	0
Fut9	0	0	14	0
Gm833	0	0	0	0
Midn	72	75	77	85
Qprt	338	238	450	373
Apom	0	1	0	1
Mtcp1	101	73	101	80
Atg2a	2661	2678	2928	3351
Cant1	2301	2807	2818	2399
Mgrn1	1158	1848	1249	1711
Foxq1	11	3	0	3
Sccpdh	7	44	0	37
Gm2516	0	0	0	0
Trmt44	169	170	241	192
Lamc2	0	0	4	0
Lamc3	0	0	0	0
Lamc1	627	543	1060	520
Gm2518	4	3	1	19
Chia1	0	0	0	0
1110004F10Rik	3554	4161	4016	4788
Clcc1	1909	2446	2128	2276
Src	29	13	27	46
Srf	1135	1064	903	1249
Lap3	760	747	830	900
Sri	13157	13454	14737	17036
Srl	0	0	27	31
Srm	908	1144	1167	1703
Srr	194	232	230	122
Opn5	0	0	2	0
Opn4	0	0	0	0
Opn3	23	15	40	3
Gm3488	0	0	0	0
A230009B12Rik	0	0	3	0
Gpr137c	2	0	0	21
Gpr137b	11	6	8	11
Mir7048	3	0	1	0
Mir7049	0	1	0	0
Mir7046	0	0	0	0
Mir7047	0	0	0	0
Mir7044	0	0	0	0
Mir7045	0	0	0	0
Mir7042	0	0	2	0
Mir7043	0	0	0	0
Mir7040	0	0	0	0
Mir7041	1	0	0	0
Lor	0	0	0	0
Zfp160	965	740	786	574
Zfp169	738	552	463	570
Lox	0	0	13	0
Ropn1l	0	1	11	19
Olfr368	0	0	0	0
Olfr361	0	0	7	0
Olfr360	0	0	0	0
Olfr362	0	0	0	0
Olfr365	0	0	0	0
Olfr366	0	0	0	0
A330093E20Rik	0	0	0	0
Sypl2	0	0	0	0
Etaa1	806	973	740	1025
Hpgds	43	72	85	108
Tmem86b	50	1	49	56
Ang	24	12	2	1
Themis	8903	8560	9531	9127
Ank	2861	3066	3197	3207
Dctn2	1898	2046	2435	2570
Dctn3	1612	1813	1817	2080
Dctn1	3452	3619	3558	3818
Dctn6	1535	1503	1657	1865
Dctn4	1648	1940	1733	1660
Dctn5	2492	2390	2434	2202
Dhdds	734	815	708	766
Slc38a11	0	0	0	0
Slc38a10	5668	7039	5809	6466
Clca4c-ps	0	0	0	0
Glrb	0	0	2	0
Slco4c1	0	0	0	0
Pddc1	1736	1586	1770	2198
Glrx	1252	1170	1384	1612
Mir467a-10	0	0	0	0
2410004B18Rik	482	464	628	592
Zfp839	429	541	291	333
Zfp831	766	844	819	875
Zfp830	775	702	884	917
Vmn1r-ps103	0	4	10	0
Ets2	396	544	654	580
Ets1	76304	79242	70240	76045
Bicd1	36	75	43	68
P4hb	9041	8791	9770	10471
Gm11487	0	0	0	0
Zfand2b	859	867	783	939
Zfand2a	448	417	700	503
Itgb1	71488	66566	68368	74345
Piga	346	496	521	691
Map3k7cl	0	0	0	0
Itgb2	48011	43272	54863	57182
Itgb5	39	15	56	58
Tmem51os1	0	0	7	0
Itgb7	65057	59454	62558	68021
Itgb6	0	0	3	0
Pigh	495	502	498	593
Itgb8	1	0	2	0
Pigk	2889	2544	3055	3510
Pigl	315	153	284	300
Pigm	765	656	862	897
Pign	917	842	982	1213
Pigo	724	842	1086	1152
Pigp	590	656	721	820
Pigq	1769	2043	2151	1727
Pigr	0	0	0	0
Pigs	3311	3496	3293	3617
Pigt	783	816	756	855
Pigu	746	905	806	1103
Pigv	1212	1458	1109	1657
Pigw	60	91	135	167
Pnma1	0	0	2	24
Pigz	39	33	2	4
Pnma2	0	0	10	0
Pnma5	0	0	0	0
Gm15612	0	0	0	0
Nags	14	0	0	0
Pinlyp	0	0	0	0
Kitl	0	1	0	0
Naga	955	902	946	1048
Nagk	398	413	451	441
Hepacam	1	0	0	0
Noc3l	824	920	932	1216
Nr0b2	0	0	0	4
Nr0b1	0	0	0	0
Mamld1	0	0	0	0
Ofd1	479	578	636	586
1700092C02Rik	0	3	0	0
Gm5538	0	0	0	0
Cops7a	1395	1483	1777	1896
Lrig3	25	0	12	0
Lrig2	1448	1928	1512	1684
Lrig1	211	285	213	338
Gm5532	7	1	4	33
Gm5535	0	0	0	2
Zeb2os	14	11	21	9
Thyn1	260	266	278	341
A330069E16Rik	9	20	25	38
Krtap4-9	0	0	0	0
Krtap4-8	0	0	0	0
Krtap4-1	0	0	0	0
Krtap4-2	0	0	0	0
Sohlh1	23	6	0	9
Sohlh2	0	0	0	0
Krtap4-6	0	0	0	0
Kcnb2	0	0	0	0
Kcnb1	39	40	68	40
Cfap58	0	0	7	0
Ldhal6b	0	0	0	5
Cfap57	0	0	1	0
Asb12	0	0	0	0
Cfap53	0	0	7	10
Cfap52	0	2	0	0
Spice1	1199	1335	1100	1315
2210018M11Rik	2481	2864	1813	2584
4930444G20Rik	0	0	0	0
BC046251	0	0	0	0
Nhp2	1547	1441	1635	1972
Fam150b	0	0	0	0
Gm7008	11	0	5	1
Tanc1	1476	2096	1903	3085
Tanc2	315	332	352	221
Foxl2	0	0	0	0
4930544G11Rik	1	0	0	0
Foxl1	0	0	2	0
Adad2	0	0	0	0
Atl3	602	827	815	907
Atl2	615	699	739	856
Atl1	11	4	1	70
Pxdc1	0	0	0	0
1700007J10Rik	5	9	19	5
Farp2	39	19	66	68
Gm6756	0	0	1	0
Farp1	428	268	447	347
Celrr	0	0	0	0
A330102I10Rik	0	0	1	0
Vstm5	0	0	0	0
Vstm4	13	12	0	0
Gm8801	1	0	6	1
Ranbp10	2661	3072	2586	2277
Ranbp17	0	0	1	0
A830009L08Rik	20	5	3	0
LOC101055749	0	0	0	0
Hmga1-rs1	0	0	0	0
Mbl1	0	0	8	0
Mbl2	0	0	0	0
Aven	1496	1360	1519	1508
Szrd1	1181	1330	926	1331
Sc5d	913	881	1043	1030
Spo11	35	9	31	43
Sde2	2520	2506	2747	2979
Ptpn3	106	45	101	53
Klhl41	2	1	0	0
Klhl40	0	0	2	0
Obsl1	0	0	1	0
Rab10	9186	10913	8879	11172
Scpep1os	0	1	0	0
Ptpn1	5957	6505	5989	7068
Sos2	2994	3206	3047	3657
Rab12	628	678	778	592
Sos1	1287	1606	1599	1551
Ptpn7	4769	5180	5741	5779
Skiv2l2	4080	4400	4050	5111
Mir133a-2	0	0	0	0
Mir133a-1	0	0	0	0
Rab17	0	0	0	0
Wdpcp	15	1	36	14
B3glct	339	446	475	530
Golim4	1954	1527	1992	1885
Mipol1	116	178	114	239
Ncl	14065	15022	14822	18786
Gm10538	0	0	0	0
Orc5	1827	1579	1926	2113
Gm10532	0	0	0	0
Gm10536	0	0	0	0
Krtdap	0	0	0	0
Orc1	113	72	102	133
4930557F10Rik	0	0	0	0
Pabpn1l	0	0	0	0
Cbl	1210	1233	1266	1331
Cbs	0	0	1	0
Fam199x	697	762	641	635
Zfhx2os	0	0	4	0
Uck1	1439	1570	1621	1525
Uck2	683	561	525	743
Fank1	0	0	0	0
Gm14151	0	0	0	0
Soat2	556	544	710	680
Soat1	1555	2126	1420	1857
Rgs9bp	1	0	1	1
Mgl2	0	0	0	0
Kap	0	0	0	0
Mir3074-2	0	0	0	0
Mir3074-1	0	0	0	0
A430105I19Rik	0	0	0	0
Pptc7	3292	3449	3616	3691
Slc7a6os	822	677	1046	924
Mgll	0	0	0	9
Mettl7a2	0	0	0	0
Mettl7a3	0	0	0	0
Mettl7a1	388	315	291	287
Neu4	0	0	0	0
Neu1	1675	1295	1347	1564
Rsad1	142	56	159	188
Neu3	66	211	110	229
4930539C22Rik	0	0	0	0
Eldr	13	7	23	1
Ntng1	0	0	0	0
Csmd2os	0	0	0	0
Arpc5l	3613	3557	4304	4998
Sfpq	1899	2396	1810	2182
Plekhh3	9	15	30	55
Plekhh2	0	3	3	0
Plekhh1	2	2	5	4
Sost	0	0	0	0
Cdk5r1	18	2	8	3
Cdk5r2	0	0	0	0
Blvrb	73	44	62	178
Blvra	1518	1852	1700	1818
Slc46a2	0	7	4	2
Slc46a3	612	626	798	1237
Slc46a1	4	19	1	8
Tlx1	0	0	0	0
Tlx2	0	0	0	0
Tlx3	0	0	0	0
Eid2b	142	159	117	121
Ptf1a	0	0	0	0
Musk	0	0	0	0
Olfr1339	0	0	0	0
Olfr1330	0	0	0	0
Olfr1331	0	0	0	0
Noxo1	14	17	67	47
Olfr1333	0	0	0	0
Olfr1335	0	0	0	0
Olfr1336	1	0	0	0
Olfr1337	0	0	0	0
Ndufb6	1034	1026	1328	1428
Hivep1	1075	874	1365	1265
Hivep2	3670	4254	3153	4139
Hivep3	75	103	91	128
Kiss1r	46	22	23	21
Zfp703	105	130	162	171
Zfp704	5	19	5	0
Zfp707	590	580	619	576
Zfp706	8289	8290	8288	9542
Zfp709	720	643	370	680
Zfp708	279	352	144	407
8030455M16Rik	0	0	0	0
Mir466c-1	0	0	0	0
2310079G19Rik	0	0	0	0
Mir466c-2	0	0	0	0
Dtymk	840	943	1179	1145
Prom2	0	0	0	0
Prom1	0	0	9	20
Dcun1d4	686	390	606	445
Brsk2	1	12	26	5
Brsk1	0	0	0	0
Spag16	1	0	0	2
Spag17	6	21	47	32
Notch4	16	18	31	8
Notch1	1852	2432	2458	2559
Notch2	1023	1052	1305	1136
Notch3	68	4	186	98
Rps19bp1	325	350	444	443
Skiv2l	3534	2303	3412	3149
1110012L19Rik	447	475	504	555
Tnk2os	1	0	2	2
E330017A01Rik	0	0	0	0
4933433G19Rik	49	24	69	43
Ifit1bl2	89	20	86	121
Ifit1bl1	5712	4986	7077	7625
Supt20	2713	2714	3176	2707
4930451G09Rik	10	13	15	25
Nxt2	402	405	264	325
Nxt1	813	938	976	1164
0610010F05Rik	442	674	866	781
Mad2l1	427	557	656	829
Gm3264	0	0	1	0
Klra17	0	0	0	1
Klra15	0	0	0	0
Rnf115	4626	5447	5563	5667
Rnf112	1	0	0	0
Klra12	0	0	0	0
Klra10	0	0	0	0
Klra19	0	0	0	0
Klra18	0	0	1	0
Olfr538	0	0	0	0
Olfr539	0	0	0	0
Pcmtd1	2811	3096	3730	3830
AV064505	0	0	0	0
Olfr530	0	4	16	0
Olfr531	0	0	0	0
Olfr532	0	0	0	0
Olfr533	0	0	0	0
Olfr535	0	0	0	0
Olfr536	0	0	0	0
Tmem59l	0	0	13	16
Gm10677	0	0	0	0
Dscam	8	2	53	78
Zfp286	58	29	91	95
Zfp287	1046	1272	1235	882
Zfp281	2714	2571	2652	3398
Zfp282	550	550	551	566
Dynlt1f	44	51	66	48
Slfnl1	0	0	0	0
Lgsn	1	0	0	0
Cd2ap	589	923	722	776
Cldn20	0	6	0	1
Dguok	1188	1533	1577	1803
Pdap1	371	318	342	472
Efs	0	0	0	0
Mmd2	0	0	0	1
Ucp1	0	0	6	0
Kdm8	196	314	235	269
Ucp3	0	10	15	11
Mdp1	1508	1819	1701	1638
Il20ra	0	0	0	0
1700018B08Rik	0	0	1	0
Il20rb	118	68	148	90
Ormdl2	658	580	803	655
Ormdl3	1573	2102	1512	2195
Ormdl1	1747	1710	1374	1513
Unc79	13	29	3	29
Spsb3	2225	2173	2187	2528
Spsb2	92	79	119	79
Spsb1	4	53	0	19
Spsb4	0	0	2	0
Phf14	1092	1112	1323	1771
Phf10	705	617	718	698
Phf12	1532	1797	1828	1967
Phf13	2409	2078	1928	1878
Phf19	41	119	204	195
4930504O13Rik	0	0	0	0
Mpdz	0	0	1	2
Cep152	598	1321	747	891
A230065H16Rik	0	0	0	0
Gm14005	49	82	120	144
Nrde2	1358	1115	1272	1427
Prss43	0	0	0	0
Gm12522	0	0	0	0
Hoxaas3	0	0	0	0
Hoxaas2	0	0	0	0
2810459M11Rik	1	35	41	7
Dennd4b	2391	2354	2713	2559
Cchcr1	357	227	379	308
Tfcp2l1	0	0	2	0
Fstl1	0	8	3	0
Gm11696	11	8	25	29
Hepacam2	0	0	1	0
Intu	0	5	0	4
Fgfbp3	194	151	199	151
Fgfbp1	0	0	0	0
Krtap5-4	0	0	0	0
Krtap5-5	0	0	0	0
9230110C19Rik	0	29	0	0
Krtap5-1	0	0	0	0
Krtap5-2	0	0	0	0
Krtap5-3	0	0	0	0
Cdca2	128	114	230	199
Cdca3	86	29	131	146
Cdca7	465	421	764	796
Cdca4	1416	1979	1862	2235
Cdca5	56	30	113	153
Cdca8	184	146	278	484
Emc8-1190005i06rik	1	0	0	0
Dppa5a	0	0	0	0
Mrm1	1345	1199	1495	1476
Hoxd12	0	0	0	0
Hoxd11	0	0	0	1
Sphk2	1112	937	872	986
Sphk1	0	0	0	20
Rev3l	2047	1921	2297	2237
Leprot	1979	1913	1799	2040
Bdnf	0	0	0	0
Fam171b	39	5	18	0
4930568E12Rik	0	0	0	0
Kcne1l	0	0	0	0
Prss55	0	0	0	0
Prss54	0	0	0	0
Gm4251	0	0	0	0
Prss56	0	0	0	0
Prss51	0	0	0	0
Prss50	0	0	0	0
Prss53	0	23	3	5
Prss52	0	0	0	0
D230025D16Rik	678	756	744	908
Gm19990	0	0	0	0
Prss58	0	0	0	0
1700109K24Rik	0	0	0	0
Tvp23b	1358	1527	1716	1650
Tvp23a	116	135	242	174
Ddit4l	0	0	0	0
Ndufab1	661	715	729	870
4933406F09Rik	0	0	0	0
D630041G03Rik	4	1	1	0
Scand1	484	511	533	779
Caskin2	106	161	149	201
Caskin1	0	0	1	0
Crim1	822	918	972	1009
Hrct1	0	0	0	0
Atp5s	192	103	148	193
4930590J08Rik	3	3	8	1
Atp5k	479	503	603	843
Atp5j	3370	3221	3562	4616
Atp5h	4631	4441	5018	6095
Atp5o	3940	4039	4548	5249
Atp5l	755	764	947	1001
Atp5b	16718	16150	16802	20554
Pus10	854	647	722	866
Atp5e	1739	1688	1972	2613
Atp5d	4619	4623	4916	5889
Mir6979	0	0	0	3
Mir6978	0	0	0	0
Mir6975	0	0	0	0
Mir6974	0	0	0	0
Mir6977	0	0	0	0
Mir6976	0	0	0	0
Mir6971	0	0	0	0
Mir6970	0	0	0	0
Txlna	3138	4198	3074	3200
Mir6972	0	0	0	0
Doc2a	178	163	164	190
Doc2b	0	0	0	0
